universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
realistic,mean_reversion,distance_from_ma,12H,3D,spearman,validation,83,0.042648790651327116,0.23393138855435894,0.09672294416957398,False
realistic,mean_reversion,distance_from_ma,12H,7D,spearman,validation,83,0.03346317601231995,0.21941807476518405,0.16470482143881982,False
realistic,mean_reversion,distance_from_ma,12H,14D,spearman,validation,83,0.004103632575414441,0.23369412484018937,0.8728985618461381,False
realistic,mean_reversion,distance_from_ma,12H,30D,spearman,validation,83,0.03317027508530362,0.22592718684782417,0.18103353004082134,False
realistic,mean_reversion,distance_from_ma,1D,1H,spearman,design,113,-0.022703818369453052,0.23938343098659737,0.31336141604949996,False
realistic,mean_reversion,distance_from_ma,1D,4H,spearman,design,113,0.008056613423198807,0.2699531842367146,0.7510529921831103,False
realistic,mean_reversion,distance_from_ma,1D,12H,spearman,design,113,0.02918390458186068,0.2428523166234478,0.20144709906693892,False
realistic,mean_reversion,distance_from_ma,1D,1D,spearman,design,113,0.01583970337086861,0.24663656060968395,0.4947975148921734,False
realistic,mean_reversion,distance_from_ma,1D,1D,pearson,design,113,0.016775217172350556,0.24875736527883552,0.47346346291991726,False
realistic,mean_reversion,distance_from_ma,1D,3D,spearman,design,113,0.0015141967359836325,0.2246008015031505,0.9428681006704621,False
